t,fx,fy,fz,fqw,fqx,fqy,fqz,tx,ty,tz,tqw,tqx,tqy,tqz,flag_fem,flag_tib,wrote_fem,wrote_tib,wrote_fem_x,wrote_fem_y,wrote_fem_z,wrote_fem_qw,wrote_fem_qx,wrote_fem_qy,wrote_fem_qz,wrote_tib_x,wrote_tib_y,wrote_tib_z,wrote_tib_qw,wrote_tib_qx,wrote_tib_qy,wrote_tib_qz
0.0,-0.2758767415638095,0.04188411080335236,0.26068456517531274,0.9825665829513696,-0.17680442106177408,0.05412165850273005,0.01933786030547775,-0.311340034072954,-0.10007398345479512,0.15317165215773348,-0.3268375717190886,-0.11194157135227009,-0.19924919816401981,0.9170311027151422,1,1,1,1,-0.2758767415638095,0.04188411080335236,0.26068456517531274,0.9825665829513696,-0.17680442106177366,0.054121658502729916,0.019337860305477704,-0.311340034072954,-0.10007398345479512,0.15317165215773348,-0.3268375717190886,-0.11194157135227009,-0.19924919816401984,0.9170311027151424
0.16851472854614258,-0.27584116521653435,0.041895343939534146,0.2607067342004217,0.9825799139403664,-0.17680707198434548,0.053841231556314796,0.019418903207030214,-0.3112813666268821,-0.10006397824504969,0.15317158738727987,-0.32675443851222863,-0.11207052184013512,-0.19918950217572634,0.9170579465170259,1,1,1,1,-0.27584116521653435,0.041895343939534146,0.2607067342004217,0.9825799139403664,-0.1768070719843468,0.053841231556315206,0.019418903207030363,-0.3112813666268821,-0.10006397824504969,0.15317158738727987,-0.32675443851222835,-0.11207052184013518,-0.19918950217572642,0.9170579465170263
0.348757266998291,-0.2758469103706379,0.041898079842296404,0.26069178969245926,0.9825753974911697,-0.1768049822738365,0.0539508667841175,0.01936208825154363,-0.3113057111594477,-0.10006319745961392,0.1531720597716217,-0.3267160072009893,-0.11196604371296734,-0.19922199121475115,0.9170773434723697,1,1,1,1,-0.2758469103706379,0.041898079842296404,0.26069178969245926,0.9825753974911697,-0.1768049822738375,0.053950866784117806,0.01936208825154374,-0.3113057111594477,-0.10006319745961392,0.1531720597716217,-0.32671600720098926,-0.11196604371296738,-0.19922199121475126,0.91707734347237
0.5188422203063965,-0.275827786208027,0.041905395641363,0.2606588803490614,0.982595585409255,-0.1767444457039174,0.05376342165520316,0.019411618659539505,-0.311350301512826,-0.1000605296464382,0.15317432421519744,-0.32689911717165293,-0.11201826392000237,-0.19922418649841692,0.9170052340389266,1,1,1,1,-0.275827786208027,0.041905395641363,0.2606588803490614,0.982595585409255,-0.17674444570391787,0.0537634216552033,0.019411618659539557,-0.311350301512826,-0.1000605296464382,0.15317432421519744,-0.32689911717165293,-0.11201826392000241,-0.19922418649841697,0.917005234038927
0.6919770240783691,-0.2758575859188008,0.04189575717808891,0.26068711236021586,0.9825777832919319,-0.1767996940665643,0.05390794860621709,0.019408787601291527,-0.31129198134637354,-0.10006333789475048,0.15315812517875876,-0.32684521773860237,-0.11212020189655769,-0.1991641831925543,0.9170250226146088,1,1,1,1,-0.2758575859188008,0.04189575717808891,0.26068711236021586,0.9825777832919319,-0.17679969406656484,0.05390794860621726,0.01940878760129159,-0.31129198134637354,-0.10006333789475048,0.15315812517875876,-0.3268452177386024,-0.11212020189655773,-0.1991641831925544,0.9170250226146089
0.885887622833252,-0.27589402497815535,0.04190564649000533,0.2606694470766614,0.9825861923190812,-0.17676216802262942,0.05391896826509521,0.019293923423114114,-0.31131293848884367,-0.10005705753897957,0.1531667996489884,-0.3268357038320708,-0.11206729170943637,-0.19920086879376409,0.9170269127464673,1,1,1,1,-0.27589402497815535,0.04190564649000533,0.2606694470766614,0.9825861923190812,-0.17676216802263042,0.05391896826509551,0.019293923423114225,-0.31131293848884367,-0.10005705753897957,0.1531667996489884,-0.3268357038320707,-0.11206729170943638,-0.19920086879376414,0.9170269127464676
1.0851471424102783,-0.27581341799517045,0.04190243912495939,0.2606371977852489,0.9825952638956131,-0.1767136283548069,0.05384892993411832,0.01947135507713812,-0.3113827069388565,-0.10006640642341016,0.1531692505455816,-0.32690857932923045,-0.11194113637838689,-0.1992498277915812,0.9170057082004914,1,1,1,1,-0.27581341799517045,0.04190243912495939,0.2606371977852489,0.9825952638956131,-0.17671362835480722,0.05384892993411842,0.01947135507713816,-0.3113827069388565,-0.10006640642341016,0.1531692505455816,-0.3269085793292304,-0.11194113637838694,-0.19924982779158132,0.9170057082004919
1.2795612812042236,-0.2758684721084972,0.04190017699961321,0.26065881567651206,0.9825859296064523,-0.1767465740735217,0.053956978356026204,0.019343835694721506,-0.3113390950627383,-0.10006540241978103,0.1531715307310583,-0.3267863413754379,-0.1119016559199493,-0.19925686313416846,0.9170525660979093,1,1,1,1,-0.2758684721084972,0.04190017699961321,0.26065881567651206,0.9825859296064523,-0.17674657407352262,0.05395697835602649,0.019343835694721607,-0.3113390950627383,-0.10006540241978103,0.1531715307310583,-0.3267863413754378,-0.11190165591994937,-0.19925686313416857,0.9170525660979099
1.4801054000854492,-0.27579979669599813,0.0419049624956912,0.26068476414585207,0.9825787524713049,-0.17680632944857302,0.05384836900076152,0.019464588739931045,-0.31130904352430716,-0.10007331566850562,0.153158188161744,-0.32682442393431205,-0.11199459887392768,-0.1991881929474115,0.9170425669146541,1,1,1,1,-0.27579979669599813,0.0419049624956912,0.26068476414585207,0.9825787524713049,-0.1768063294485737,0.053848369000761724,0.01946458873993112,-0.31130904352430716,-0.10007331566850562,0.153158188161744,-0.32682442393431194,-0.11199459887392772,-0.19918819294741158,0.9170425669146545
1.6799054145812988,-0.2758000144724535,0.041900938146566924,0.26067950791729877,0.9825789165450192,-0.176793578530249,0.05388279963838287,0.019476838932815606,-0.3113120751373578,-0.10006030924471279,0.15316346193891772,-0.326798878533741,-0.1120044757475229,-0.1992085777135358,0.9170460364490772,1,1,1,1,-0.2758000144724535,0.041900938146566924,0.26067950791729877,0.9825789165450192,-0.17679357853024957,0.05388279963838305,0.01947683893281567,-0.3113120751373578,-0.10006030924471279,0.15316346193891772,-0.32679887853374107,-0.11200447574752292,-0.19920857771353584,0.9170460364490773
